dataset,pair_idx,region,layer,mean_margin
RRS,16,middle,1,-2.0303887287775675
RRS,16,middle,2,-1.153333600362142
RRS,16,middle,3,-0.8215384483337402
RRS,16,middle,4,-0.2755862871805827
RRS,16,middle,5,-0.1583229382832845
RRS,16,middle,6,-0.20636520385742188
RRS,16,middle,7,-0.20498612721761067
RRS,16,middle,8,-0.07672262191772461
RRS,16,middle,9,-0.1230593999226888
RRS,16,middle,10,-0.08657379150390625
RRS,16,c_term,0,-1.73951083223025
RRS,16,c_term,1,-1.8771266102790833
RRS,16,c_term,2,-0.8674057483673095
RRS,16,c_term,3,-0.7726518630981445
RRS,16,c_term,4,-0.24546375274658203
RRS,16,c_term,5,-0.2245711326599121
RRS,16,c_term,6,-0.3541307767232259
RRS,16,c_term,7,-0.36473760604858396
RRS,16,c_term,8,-0.24580809275309246
RRS,16,c_term,9,-0.26961164474487304
RRS,16,c_term,10,0.07434810002644857
RRS,17,n_term,0,-1.6265021324157716
RRS,17,n_term,1,-1.5133039315541585
RRS,17,n_term,2,-1.4004112879435222
RRS,17,n_term,3,-1.1955771764119467
RRS,17,n_term,4,-0.8756316184997559
RRS,17,n_term,5,-0.44041702151298523
RRS,17,n_term,6,-0.3193222999572754
RRS,17,n_term,7,-0.19221115112304688
RRS,17,n_term,8,-0.2917059262593587
RRS,17,n_term,9,-0.18270737330118816
RRS,17,n_term,10,-0.6589927673339844
RRS,17,middle,0,-1.3714155435562134
RRS,17,middle,1,-1.54590731660525
RRS,17,middle,2,-1.0585412979125977
RRS,17,middle,3,-0.7119571050008138
RRS,17,middle,4,-0.4712121327718099
RRS,17,middle,5,-0.17676056226094564
RRS,17,middle,6,-0.17664051055908203
RRS,17,middle,7,-0.20356744130452473
RRS,17,middle,8,-0.1535821596781413
RRS,17,middle,9,-0.130548095703125
RRS,17,middle,10,-0.05076821645100912
RRS,17,c_term,0,-1.3594868818918864
RRS,17,c_term,1,-1.592006222407023
RRS,17,c_term,2,-0.6564064979553222
RRS,17,c_term,3,-0.253388786315918
RRS,17,c_term,4,-0.007883866628011068
RRS,17,c_term,5,0.4005983034769694
RRS,17,c_term,6,0.1977857271830241
RRS,17,c_term,7,0.17738399505615235
RRS,17,c_term,8,0.14935499827067059
RRS,17,c_term,9,-0.019246323903401693
RRS,17,c_term,10,0.007893625895182292
RRS,18,n_term,0,-1.4173524538675943
RRS,18,n_term,1,-1.6669796466827393
RRS,18,n_term,2,-1.2053472836812338
RRS,18,n_term,3,-0.8236260732014974
RRS,18,n_term,4,-0.8727170626322428
