dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,9,c_term,2,-1.1019078334172567,0.1655803620815277
real_PRS,9,c_term,3,-0.7556440353393554,0.1655803620815277
real_PRS,9,c_term,4,-0.2599280993143717,0.1655803620815277
real_PRS,9,c_term,5,-0.06614592870076498,0.1655803620815277
real_PRS,9,c_term,6,-0.12088534037272135,0.1655803620815277
real_PRS,9,c_term,7,-0.018846988677978516,0.1655803620815277
real_PRS,9,c_term,8,0.2048442522684733,0.1655803620815277
real_PRS,9,c_term,9,0.08904784520467122,0.1655803620815277
real_PRS,9,c_term,10,0.05160376230875651,0.1655803620815277
real_PRS,9,middle,0,-1.9521720349788665,0.1655803620815277
real_PRS,9,middle,1,-2.004074505964915,0.1655803620815277
real_PRS,9,middle,2,-1.0766259988149007,0.1655803620815277
real_PRS,9,middle,3,-0.7408049583435059,0.1655803620815277
real_PRS,9,middle,4,-0.48819913864135744,0.1655803620815277
real_PRS,9,middle,5,0.0874628225962321,0.1655803620815277
real_PRS,9,middle,6,0.053626267115275066,0.1655803620815277
real_PRS,9,middle,7,0.25675965944925944,0.1655803620815277
real_PRS,9,middle,8,0.5207385381062826,0.1655803620815277
real_PRS,9,middle,9,0.6253617286682129,0.1655803620815277
real_PRS,9,middle,10,0.27047599156697594,0.1655803620815277
real_PRS,10,n_term,0,-1.8429690917332968,0.9728524684906006
real_PRS,10,n_term,1,-1.815462084611257,0.9728524684906006
real_PRS,10,n_term,2,-1.8518527666727702,0.9728524684906006
real_PRS,10,n_term,3,-1.5209454536437987,0.9728524684906006
real_PRS,10,n_term,4,-1.6424430847167968,0.9728524684906006
real_PRS,10,n_term,5,-1.4154104391733806,0.9728524684906006
real_PRS,10,n_term,6,-1.6383327881495158,0.9728524684906006
real_PRS,10,n_term,7,-1.7124048312505087,0.9728524684906006
real_PRS,10,n_term,8,-1.4951234976450603,0.9728524684906006
real_PRS,10,n_term,9,-1.3143563906351725,0.9728524684906006
real_PRS,10,n_term,10,-1.4959065437316894,0.9728524684906006
real_PRS,10,c_term,0,-1.6151450475056965,0.9728524684906006
real_PRS,10,c_term,1,-1.6854597250620524,0.9728524684906006
real_PRS,10,c_term,2,-1.2607886473337808,0.9728524684906006
real_PRS,10,c_term,3,-1.223205836613973,0.9728524684906006
real_PRS,10,c_term,4,-1.273133643468221,0.9728524684906006
real_PRS,10,c_term,5,-0.8879786431789398,0.9728524684906006
real_PRS,10,c_term,6,-0.8610398163398106,0.9728524684906006
real_PRS,10,c_term,7,-0.9818520421783129,0.9728524684906006
real_PRS,10,c_term,8,-0.671862765153249,0.9728524684906006
real_PRS,10,c_term,9,-0.415285062789917,0.9728524684906006
real_PRS,10,c_term,10,-0.8340358734130859,0.9728524684906006
real_PRS,10,middle,0,-1.645763874053955,0.9728524684906006
real_PRS,10,middle,1,-1.72990483045578,0.9728524684906006
real_PRS,10,middle,2,-1.4435954570770264,0.9728524684906006
real_PRS,10,middle,3,-1.5215115547180176,0.9728524684906006
real_PRS,10,middle,4,-1.0553877512613932,0.9728524684906006
real_PRS,10,middle,5,-0.6461239020029704,0.9728524684906006
real_PRS,10,middle,6,-0.5116248816251755,0.9728524684906006
real_PRS,10,middle,7,-0.0849204142888387,0.9728524684906006
real_PRS,10,middle,8,-0.14717278480529786,0.9728524684906006
real_PRS,10,middle,9,0.5976901133855184,0.9728524684906006
real_PRS,10,middle,10,0.42555301189422606,0.9728524684906006
real_PRS,11,n_term,0,-1.0196538468201954,0.8591323494911194
real_PRS,11,n_term,1,-0.9818709969520569,0.8591323494911194
real_PRS,11,n_term,2,-0.9878865321477254,0.8591323494911194
real_PRS,11,n_term,3,-0.8030301888783773,0.8591323494911194
real_PRS,11,n_term,4,-0.28304187456766766,0.8591323494911194
real_PRS,11,n_term,5,0.19477360645929973,0.8591323494911194
real_PRS,11,n_term,6,0.005322957038879394,0.8591323494911194
real_PRS,11,n_term,7,0.15376293659210205,0.8591323494911194
real_PRS,11,n_term,8,0.414738205075264,0.8591323494911194
real_PRS,11,n_term,9,0.7046620488166809,0.8591323494911194
real_PRS,11,n_term,10,-0.24627675215403239,0.8591323494911194
real_PRS,11,c_term,0,-1.384701148668925,0.8591323494911194
real_PRS,11,c_term,1,-1.6684707482655843,0.8591323494911194
real_PRS,11,c_term,2,-0.8061906973520915,0.8591323494911194
real_PRS,11,c_term,3,-0.37808828353881835,0.8591323494911194
real_PRS,11,c_term,4,-0.19748449325561523,0.8591323494911194
real_PRS,11,c_term,5,0.365446929136912,0.8591323494911194
real_PRS,11,c_term,6,0.5858030875523885,0.8591323494911194
real_PRS,11,c_term,7,1.0632369240125021,0.8591323494911194
real_PRS,11,c_term,8,1.4027412454287211,0.8591323494911194
